Player;Tm;Salary
Cole Aldrich;MIN;$685341
James Nunnally;MIN;$655632
Enes Kanter;POR;$653556
Carlos Delfino;LAC;$650000
Markieff Morris;OKC;$573295
Nik Stauskas;CLE;$540472
Pau Gasol;MIL;$527467
Caron Butler;SAC;$517219
Zhou Qi;HOU;$506134
Bruno Caboclo;MEM;$487000
Dakari Johnson;MEM;$459414
Chris Boucher;TOR;$457418
Malcolm Miller;TOR;$457418
Isaiah Canaan;PHO;$456733
Edmond Sumner;IND;$449794
A.J. Hammons;MIA;$350088
Henry Ellenson;NYK;$341831
Festus Ezeli;POR;$333333
C.J. Watson;ORL;$333333
Patrick McCaw;CLE;$323529
Nick Young;DEN;$311070
Corey Brewer;SAC;$270496
Corey Brewer;PHI;$270496
Okaro White;WAS;$264919
Miroslav Raduljica;LAC;$252043
Eric Moreland;PHO;$239035
Jaylen Adams;ATL;$236854
Quincy Acy;PHO;$213949
Tim Frazier;MIL;$205098
Andrew Harrison;MEM;$200000
Jimmer Fredette;PHO;$198580
Michael Carter-Williams;ORL;$198580
Isaiah Canaan;MIN;$198580
Terrence Jones;HOU;$198580
Jodie Meeks;TOR;$196724
Dairis Bertans;NOP;$194220
Ray Spalding;PHO;$184746
Bruno Caboclo;MEM;$183211
Cameron Payne;CLE;$177063
Deyonta Davis;ATL;$170916
Ron Baker;WAS;$170915
Jamaal Franklin;MEM;$163296
Ben Moore;IND;$160096
Jodie Meeks;TOR;$122953
Troy Williams;HOU;$122741
Greg Monroe;BOS;$122344
Cameron Reynolds;MIN;$108953
Tyler Zeller;ATL;$106974
John Jenkins;NYK;$99290
John Jenkins;NYK;$99290
John Jenkins;WAS;$99290
Isaiah Canaan;MIL;$99290
Cameron Reynolds;MIN;$94742
Justin Bibbs;LAC;$94742
Mitch Creek;BRK;$94742
B.J. Johnson;ATL;$94742
Demetrius Jackson;BOS;$92857
Chris Chiozza;HOU;$90005
Eric Moreland;TOR;$88531
JaKarr Sampson;CHI;$88531
Henry Ellenson;NYK;$85458
Gary Payton;WAS;$85458
Scotty Hopson;OKC;$85458
Charles Cooke;MIA;$76236
Andre Ingram;LAL;$76236
Kobi Simmons;CLE;$76236
Donatas Motiejunas;SAS;$59820
Shaquille Harrison;PHO;$50000
Garlon Green;NOP;$50000
Ray Spalding;PHO;$47371
Chris Chiozza;HOU;$47371
Cody Demps;SAC;$47371
B.J. Johnson;SAC;$47371
Emanuel Terry;PHO;$47371
Richard Solomon;OKC;$47371
Mitch Creek;MIN;$47371
Emanuel Terry;MIA;$47371
Dusty Hannahs;MEM;$47371
Scott Machado;LAL;$47371
Stephan Hicks;IND;$47371
Tahjere McCall;BRK;$47371
Jordan Sibert;ATL;$47371
Isaac Humphries;ATL;$47371
Emanuel Terry;DEN;$35000
Troy Williams;NOP;$34183
Terry Larrier;DAL;$6000
Ding Yanyuhang;DAL;$4737
